"Plot Title: box4								",,,
"#	""Date Time"," GMT-05:00""	""Abs Pres", kPa (LGR S/N: 20968507," SEN S/N: 20968507)""	""Temp"
1,6/9/2021 14:00:00,63.459,10.161
2,6/9/2021 14:15:00,63.461,10.259
3,6/9/2021 14:30:00,63.439,10.357
4,6/9/2021 14:45:00,63.414,10.357
5,6/9/2021 15:00:00,63.39,10.357
6,6/9/2021 15:15:00,63.392,10.455
7,6/9/2021 15:30:00,63.382,10.553
8,6/9/2021 15:45:00,63.37,10.553
9,6/9/2021 16:00:00,63.38,10.455
10,6/9/2021 16:15:00,63.341,10.357
11,6/9/2021 16:30:00,63.341,10.357
12,6/9/2021 16:45:00,63.351,10.259
13,6/9/2021 17:00:00,63.336,10.161
14,6/9/2021 17:15:00,63.334,10.063
15,6/9/2021 17:30:00,63.344,9.965
16,6/9/2021 17:45:00,63.351,9.768
17,6/9/2021 18:00:00,63.344,9.472
18,6/9/2021 18:15:00,63.364,9.275
19,6/9/2021 18:30:00,63.371,9.077
20,6/9/2021 18:45:00,63.367,8.879
21,6/9/2021 19:00:00,63.374,8.68
22,6/9/2021 19:15:00,63.394,8.481
23,6/9/2021 19:30:00,63.389,8.282
24,6/9/2021 19:45:00,63.399,8.182
25,6/9/2021 20:00:00,63.43,7.983
26,6/9/2021 20:15:00,63.465,7.882
27,6/9/2021 20:30:00,63.438,7.782
28,6/9/2021 20:45:00,63.448,7.682
29,6/9/2021 21:00:00,63.455,7.481
30,6/9/2021 21:15:00,63.455,7.481
31,6/9/2021 21:30:00,63.465,7.381
32,6/9/2021 21:45:00,63.499,7.28
33,6/9/2021 22:00:00,63.46,7.179
34,6/9/2021 22:15:00,63.482,7.079
35,6/9/2021 22:30:00,63.469,7.079
36,6/9/2021 22:45:00,63.482,7.079
37,6/9/2021 23:00:00,63.479,6.978
38,6/9/2021 23:15:00,63.467,6.978
39,6/9/2021 23:30:00,63.479,6.978
40,6/9/2021 23:45:00,63.452,6.877
41,6/10/2021 00:00:00,63.44,6.877
42,6/10/2021 00:15:00,63.452,6.877
43,6/10/2021 00:30:00,63.428,6.877
44,6/10/2021 00:45:00,63.44,6.877
45,6/10/2021 01:00:00,63.415,6.877
46,6/10/2021 01:15:00,63.425,6.775
47,6/10/2021 01:30:00,63.413,6.775
48,6/10/2021 01:45:00,63.376,6.775
49,6/10/2021 02:00:00,63.362,6.674
50,6/10/2021 02:15:00,63.349,6.674
51,6/10/2021 02:30:00,63.335,6.573
52,6/10/2021 02:45:00,63.322,6.573
53,6/10/2021 03:00:00,63.335,6.573
54,6/10/2021 03:15:00,63.32,6.471
55,6/10/2021 03:30:00,63.332,6.471
56,6/10/2021 03:45:00,63.295,6.471
57,6/10/2021 04:00:00,63.295,6.471
58,6/10/2021 04:15:00,63.317,6.37
59,6/10/2021 04:30:00,63.317,6.37
60,6/10/2021 04:45:00,63.295,6.471
61,6/10/2021 05:00:00,63.295,6.471
62,6/10/2021 05:15:00,63.308,6.471
63,6/10/2021 05:30:00,63.317,6.37
64,6/10/2021 05:45:00,63.354,6.37
65,6/10/2021 06:00:00,63.351,6.268
66,6/10/2021 06:15:00,63.351,6.268
67,6/10/2021 06:30:00,63.378,6.37
68,6/10/2021 06:45:00,63.391,6.37
69,6/10/2021 07:00:00,63.4,6.268
70,6/10/2021 07:15:00,63.413,6.268
71,6/10/2021 07:30:00,63.437,6.268
72,6/10/2021 07:45:00,63.425,6.268
73,6/10/2021 08:00:00,63.44,6.37
74,6/10/2021 08:15:00,63.418,6.471
75,6/10/2021 08:30:00,63.459,6.674
76,6/10/2021 08:45:00,63.452,6.877
77,6/10/2021 09:00:00,63.457,7.079
78,6/10/2021 09:15:00,63.474,7.28
79,6/10/2021 09:30:00,63.479,7.481
80,6/10/2021 09:45:00,63.475,7.782
81,6/10/2021 10:00:00,63.501,7.882
82,6/10/2021 10:15:00,63.492,7.983
83,6/10/2021 10:30:00,63.497,8.182
84,6/10/2021 10:45:00,63.501,8.382
85,6/10/2021 11:00:00,63.487,8.779
86,6/10/2021 11:15:00,63.511,9.275
87,6/10/2021 11:30:00,63.513,9.866
88,6/10/2021 11:45:00,63.498,10.259
89,6/10/2021 12:00:00,63.503,10.455
90,6/10/2021 12:15:00,63.498,10.259
91,6/10/2021 12:30:00,63.486,10.259
92,6/10/2021 12:45:00,63.463,10.357
93,6/10/2021 13:00:00,63.468,10.553
94,6/10/2021 13:15:00,63.461,10.748
95,6/10/2021 13:30:00,63.451,10.846
96,6/10/2021 13:45:00,63.451,10.846
97,6/10/2021 14:00:00,63.409,10.651
98,6/10/2021 14:15:00,63.37,10.553
99,6/10/2021 14:30:00,63.358,10.553
100,6/10/2021 14:45:00,63.333,10.553
101,6/10/2021 15:00:00,63.336,10.651
102,6/10/2021 15:15:00,63.333,10.553
103,6/10/2021 15:30:00,63.331,10.455
104,6/10/2021 15:45:00,63.304,10.357
105,6/10/2021 16:00:00,63.275,10.161